172;Michael Jackson;MICHAELJACKSON;Beat It;26/02/1983
173;Aerosmith;AEROSMITH;Amazing;04/12/1993
174;Shakespear s Sister;SHAKESPEARSSISTER;Stay;04/07/1992
175;Eve 6;EVE6;Here's To The Night;09/06/2001
176;Foo Fighters;FOOFIGHTERS;Learn To Fly;16/10/1999
177;Tool;TOOL;Schism;23/06/2001
178;Fuel;FUEL;Hemorrhage (In My Hands);28/10/2000
179;Bruce Springsteen;BRUCESPRINGSTEEN;Born In The USA;10/11/1984
180;Bruce Springsteen;BRUCESPRINGSTEEN;Cover Me;11/08/1984
181;Bruce Springsteen;BRUCESPRINGSTEEN;Dancing In The Dark;26/05/1984
182;Bruce Springsteen;BRUCESPRINGSTEEN;My Hometown;07/12/1985
183;Bruce Springsteen;BRUCESPRINGSTEEN;Badlands;19/08/1978
184;Bruce Springsteen;BRUCESPRINGSTEEN;Brilliant Disguise;03/10/1987
185;Bruce Springsteen;BRUCESPRINGSTEEN;Hungry Heart;08/11/1980
186;Bruce Springsteen;BRUCESPRINGSTEEN;Secret Garden;29/04/1995
187;Bruce Springsteen;BRUCESPRINGSTEEN;The Rising;03/08/2002
188;The Doors;DOORS;Touch Me;28/12/1968
189;Dire Straits;DIRESTRAITS;So Far Away;01/03/1986
190;Garbage;GARBAGE;Push It;09/05/1998
191;The Doors;DOORS;The Unknown Soldier;30/03/1968
192;The Doors;DOORS;Tightrope Ride;27/11/1971
193;Squeeze;SQUEEZE;Tempted;01/08/1981
194;P.O.D.;POD;Youth Of The Nation;09/02/2002
195;Guns N  Roses;GUNSNROSES;November Rain;27/06/1992
196;The Ramones;RAMONES;Sheena Is A Punk Rocker;02/07/1977
197;The Presidents Of The USA;PRESIDENTSOFUNITEDSTATESOFAMERICA;Peaches;09/03/1996
198;The Hives;HIVES;Hate To Say I Told You So;20/07/2002
199;Aerosmith;AEROSMITH;Jaded;27/01/2001
200;Deep Blue Something;DEEPBLUESOMETHING;Breakfast At Tiffany's;19/08/1995
201;Richard Marx;RICHARDMARX;Hazard;15/02/1992
202;Sheryl Crow;SHERYLCROW;All I Wanna Do;06/08/1994
203;Barenaked Ladies;BARENAKEDLADIES;Pinch Me;09/09/2000
204;No Doubt;NODOUBT;Just A Girl;16/12/1995
205;The Doors;DOORS;Hello I Love You;06/07/1968
